cat|length
1|1603.79546644576
2|2372.14777640999
3|1491.94509212133
4|4445.74799043043
5|2585.0049682936
6|2424.04598226356
7|1234.72189557342
8|1274.21225300741
9|827.224834672392
10|659.098310065238
11|1859.66628512379
12|1297.7909573548
13|1125.37899590751
14|984.339533074846
15|1264.39476492802
16|1626.92388683787
17|3707.44434931382
18|1010.84972955064
19|399.220323516234
20|1587.84184230982
21|908.37318034467
22|1647.1599547548
23|1008.02996543941
24|392.366683146886
25|9888.84726186456
26|980.073207598986
27|703.316249380662
28|1325.61135765304
29|1675.85232426599
30|1721.17056944268
31|1656.6300540614
32|2001.92340049877
33|1451.21638972995
34|1493.74537305689
35|2796.12048324145
36|1154.51548924037
37|232.887879405866
38|2221.24216437749
39|1606.65194176776
40|1208.67366197071
41|1342.94959306845
42|2421.93398019194
43|893.632889448
44|1537.81554530011
45|830.631440506227
46|789.585017810077
47|1666.81613542392
48|772.68453951337
49|4458.10348880484
50|129.744861894815
51|3880.2304137183
52|526.652477385708
53|1035.58576882882
54|2179.99814307207
55|1860.95447271049
56|410.80338228645
57|1608.05461702635
58|2485.28148579479
59|928.152050303455
60|2478.99994973836
61|556.229257279943
62|2457.71318439041
63|1449.00262259913
64|2205.11565489906
65|1318.47229844379
66|2990.60531380153
67|1041.35547260429
68|2620.13366533797
69|1042.17823910098
70|909.916316118037
71|188.430274111235
72|115.048900828895
73|6045.52352587326
74|1872.70160290693
75|9.5325597077302e-09
76|3887.50957533077
77|3494.1907867839
78|2006.56465718809
79|7663.58317704457
80|1175.83915194311
81|1607.87332438489
82|2598.8982744768
83|1726.06384836874
84|757.99246514378
85|1206.8728856268
86|1374.66253136875
87|987.503436563704
88|1258.91154603052
89|2217.9768026961
90|2206.41882402896
91|2156.94708375251
92|2160.72645701543
93|1919.77804524008
94|3728.6609083715
95|4381.91237694395
96|2672.3093548731
97|1459.24155577269
98|2254.82348211733
99|3816.23013740102
100|1071.62928331187
101|3354.36079020668
102|3948.51799807919
105|149.877289116757
106|2207.01324457294
107|10341.3406271227
108|15772.9712356921
109|1751.21040758818
110|4595.19036850347
111|9814.855821901
112|9714.69286001128
113|4749.71768230833
114|15991.8022009608
115|6472.52802638994
116|11833.9964220616
117|6.86758370187663
118|23.843697361478
119|15.4741800795129
120|10.7452563858325
121|47.8915274330484
122|17307.3063770668
123|1012.4706427207
124|13035.4366678978
125|7835.72564810561
126|6469.81965066298
127|2343.26014831244
128|5857.54703430069
129|13861.9734774344
130|5132.02494636774
131|10751.8261398429
132|5221.75243126699
133|691.837586046169
134|1388.77242480568
135|7534.58678397926
136|6028.322477298
137|2554.7206684998
138|20285.6689955465
139|10797.9771766572
140|16056.9097950126
141|1575.1549766408
142|1827.2902733397
143|376.847791998884
144|3370.45985059372
